ID,name,age,gender,state,season,place,days_survived,votes_against,place_percent,time_playing,total_times_played,players_in_season,season_number,is_censored
1306,Parvati Shallow,23,Female,CA,Cook Islands,6,36,4,0.75,1,3,20,13,0
1305,Adam Gentry,28,Male,CA,Cook Islands,5,37,5,0.8,1,1,20,13,0
1304,Sundra Oakley,31,Female,CA,Cook Islands,4,38,6,0.85,1,1,20,13,0
1303,Becky Lee,28,Female,DC,Cook Islands,3,39,5,0.9,1,1,20,13,1
1302,Ozzy Lusth,25,Male,CA,Cook Islands,2,39,1,0.95,1,4,20,13,1
1301,Yul Kwon,31,Male,CA,Cook Islands,1,39,5,1.0,1,1,20,13,1
1419,Jessica deBen,27,Female,CA,Fiji,19,3,6,0.052631578947368474,1,1,19,14,0
1418,Erica Durousseau,27,Female,LA,Fiji,18,6,6,0.10526315789473684,1,1,19,14,0
1417,Sylvia Kwan,52,Female,CA,Fiji,17,8,6,0.1578947368421053,1,1,19,14,0
1416,Gary Stritesky,55,Male,MN,Fiji,16,10,0,0.21052631578947367,1,1,19,14,1
1415,Liliana Gomez,25,Female,CA,Fiji,15,11,6,0.26315789473684215,1,1,19,14,0
1414,Rita Verreos,38,Female,TX,Fiji,14,14,6,0.3157894736842105,1,1,19,14,0
1413,Anthony Robinson,32,Male,CA,Fiji,13,16,10,0.368421052631579,1,1,19,14,0
1412,Rocky Reid,28,Male,CA,Fiji,12,19,5,0.42105263157894735,1,1,19,14,0
1411,Lisi Linares,36,Female,CA,Fiji,11,21,7,0.4736842105263158,1,1,19,14,0
1410,Michelle Yi,23,Female,OH,Fiji,10,24,3,0.5263157894736843,1,1,19,14,0
1409,Edgardo Rivera,28,Male,FL,Fiji,9,27,5,0.5789473684210527,1,1,19,14,0
1408,Mookie Lee,25,Male,IL,Fiji,8,30,6,0.631578947368421,1,1,19,14,0
1407,Alex Angarita,28,Male,CA,Fiji,7,33,9,0.6842105263157895,1,1,19,14,0
1406,Stacy Kimball,27,Female,CO,Fiji,6,36,4,0.736842105263158,1,1,19,14,0
1405,Boo Bernis,34,Male,LA,Fiji,5,37,5,0.7894736842105263,1,1,19,14,0
1404,Yau-Man Chan,54,Male,CA,Fiji,4,38,9,0.8421052631578947,1,2,19,14,0
1403,Cassandra Franklin,42,Female,CA,Fiji,3,39,5,0.8947368421052632,1,1,19,14,1
1402,Dreamz Herd,25,Male,NC,Fiji,2,39,2,0.9473684210526316,1,1,19,14,1
1401,Earl Cole,35,Male,CA,Fiji,1,39,1,1.0,1,1,19,14,1
1516,Chicken Morris,47,Male,VA,China,16,3,5,0.0625,1,1,16,15,0
1515,Ashley Massaro,28,Female,NY,China,15,6,8,0.125,1,1,16,15,0
1514,Leslie Nease,38,Female,SC,China,14,9,6,0.1875,1,1,16,15,0
1513,Dave Cruser,37,Male,CA,China,13,12,6,0.25,1,1,16,15,0
1512,Aaron Reisberger,32,Male,CA,China,12,15,3,0.3125,1,1,16,15,0
1511,Sherea Lloyd,26,Female,GA,China,11,18,6,0.375,1,1,16,15,0
1510,Jaime Dugan,22,Female,SC,China,10,21,7,0.4375,1,1,16,15,0
1509,Jean-Robert Bellande,36,Male,NV,China,9,24,12,0.5,1,1,16,15,0
1508,Frosti Zernow,20,Male,IL,China,8,27,7,0.5625,1,1,16,15,0
1507,James Clement,30,Male,LA,China,7,30,9,0.625,1,3,16,15,0
1506,Erik Huffman,26,Male,TN,China,6,33,5,0.6875,1,1,16,15,0
1505,Peih-Gee Law,29,Female,CA,China,5,36,8,0.75,1,2,16,15,0
1504,Denise Martin,40,Female,MA,China,4,38,3,0.8125,1,1,16,15,0
1503,Amanda Kimmel,22,Female,CA,China,3,39,0,0.875,1,3,16,15,1
1502,Courtney Yates,26,Female,NY,China,2,39,0,0.9375,1,2,16,15,1
1501,Todd Herzog,22,Male,UT,China,1,39,5,1.0,1,1,16,15,1
1620,Jon Dalton,33,Male,CA,Micronesia,20,3,9,0.050000000000000044,2,2,20,16,0
1619,Mary Sartain,29,Female,CA,Micronesia,19,6,6,0.09999999999999998,1,1,20,16,0
1618,Yau-Man Chan,55,Male,CA,Micronesia,18,8,6,0.15000000000000002,2,2,20,16,0
1617,Mikey Bortone,34,Male,CA,Micronesia,17,11,6,0.19999999999999996,1,1,20,16,0
1616,Joel Anderson,32,Male,AZ,Micronesia,16,14,6,0.25,1,1,20,16,0
1615,Jonathan Penner,45,Male,CA,Micronesia,15,15,0,0.30000000000000004,2,3,20,16,1
1614,Chet Welch,48,Male,PA,Micronesia,14,17,12,0.35,1,1,20,16,0
1613,Kathy Sleckman,45,Female,IL,Micronesia,13,19,0,0.4,1,1,20,16,1
1612,Tracy Hughes-Wolf,43,Female,VA,Micronesia,12,20,7,0.44999999999999996,1,1,20,16,0
1611,Ami Cusack,34,Female,CO,Micronesia,11,21,4,0.5,2,2,20,16,0
1610,Eliza Orlins,25,Female,NY,Micronesia,10,24,8,0.55,2,2,20,16,0
1609,Ozzy Lusth,26,Male,CA,Micronesia,9,27,9,0.6,2,4,20,16,0
1608,Jason Siska,22,Male,IL,Micronesia,8,30,8,0.65,1,1,20,16,0
1607,James Clement,30,Male,LA,Micronesia,7,31,3,0.7,2,3,20,16,1
1606,Alexis Jones,24,Female,CA,Micronesia,6,33,2,0.75,1,1,20,16,0
1605,Erik Reichenbach,22,Male,MI,Micronesia,5,36,7,0.8,1,2,20,16,0
1604,Natalie Bolton,32,Female,CA,Micronesia,4,37,3,0.85,1,1,20,16,0
1603,Cirie Fields,37,Female,CT,Micronesia,3,38,3,0.9,2,4,20,16,0
1602,Amanda Kimmel,23,Female,CA,Micronesia,2,39,4,0.95,2,3,20,16,1
1601,Parvati Shallow,25,Female,CA,Micronesia,1,39,4,1.0,2,3,20,16,1
1718,Michelle Chase,24,Female,CA,Gabon,18,3,8,0.05555555555555558,1,1,18,17,0
1717,Gillian Larson,61,Female,CA,Gabon,17,6,8,0.11111111111111116,1,1,18,17,0
1716,Paloma Soto-Castillo,23,Female,CA,Gabon,16,9,7,0.16666666666666663,1,1,18,17,0
1715,Jacquie Berg,25,Female,CA,Gabon,15,12,5,0.2222222222222222,1,1,18,17,0
1714,G.C. Brown,25,Male,OR,Gabon,14,15,6,0.2777777777777778,1,1,18,17,0
1713,Kelly Czarnecki,22,Female,IL,Gabon,13,18,8,0.33333333333333337,1,1,18,17,0
1712,Ace Gordon,27,Male,FL,Gabon,12,21,5,0.38888888888888884,1,1,18,17,0
1711,Dan Kay,32,Male,MA,Gabon,11,21,4,0.4444444444444444,1,1,18,17,0
1710,Marcus Lehman,28,Male,GA,Gabon,10,24,3,0.5,1,1,18,17,0
1709,Charlie Herschel,29,Male,NY,Gabon,9,27,5,0.5555555555555556,1,1,18,17,0
1708,Randy Bailey,49,Male,MO,Gabon,8,30,5,0.6111111111111112,1,2,18,17,0
