ID,Contestant,ChW,ChA,ChW%,VFB,VAP,TotV,TCA,TC%,wTCR,JVF,TotJ,JV%,SurvSc,SurvAv
1318,Cecilia Mansilla,0.10,0.56,0.18,1,6,13,2,0.27,1.40,-,-,-,0.45,1.50
1319,Billy Garcia,0.10,0.45,0.22,0,4,5,1,-0.80,0.00,-,-,-,-0.58,0.10
1320,Sekou Bunch,0.00,0.20,0.00,0,3,5,1,-0.60,0.00,-,-,-,-0.60,0.00
1401,Earl Cole,1.18,10.73,0.11,8,1,59,9,0.89,4.98,9,9,1.00,2.00,12.16
1402,Dreamz Herd,2.70,10.71,0.25,9,2,65,11,0.82,3.82,0,9,0.00,1.07,6.51
1403,Cassandra Franklin,2.62,10.71,0.24,5,5,43,7,0.70,2.22,0,9,0.00,0.94,4.84
1404,Yau-Man Chan,4.57,11.73,0.39,8,5,67,10,0.79,2.49,-,-,-,1.18,7.06
1405,Boo Bernis,5.30,10.71,0.49,4,5,39,6,0.65,2.07,-,-,-,1.14,7.37
1406,Stacy Kimball,3.35,9.71,0.34,4,4,39,6,0.65,2.33,-,-,-,0.99,5.68
1407,Alex Angarita,1.45,7.38,0.20,6,9,54,8,0.73,1.62,-,-,-,0.93,3.06
1408,Mookie Lee,0.17,5.39,0.03,5,6,71,10,0.49,1.40,-,-,-,0.52,1.57
1409,Edgardo Rivera,1.40,4.13,0.34,4,5,34,5,0.77,2.49,-,-,-,1.11,3.89
1410,Michelle Yi,0.73,2.14,0.34,3,3,37,5,0.58,2.40,-,-,-,0.93,3.13
1411,Lisi Linares,0.93,1.93,0.48,2,7,19,3,0.54,1.70,-,-,-,1.03,2.63
1412,Rocky Reid,0.17,1.54,0.11,3,5,44,6,0.48,1.56,-,-,-,0.59,1.72
1413,Anthony Robinson,0.00,1.21,0.00,3,10,38,5,0.55,1.20,-,-,-,0.55,1.20
1414,Rita Verreos,0.00,1.04,0.00,2,6,32,4,0.45,1.40,-,-,-,0.45,1.40
1415,Liliana Gomez,0.74,0.74,1.00,0,6,8,1,-0.75,0.00,-,-,-,0.25,0.74
1416,Gary Stritesky,0.46,0.74,0.62,0,0,0,0,-1.00,0.00,-,-,-,-0.38,0.46
1417,Sylvia Kwan,0.00,0.47,0.00,1,6,16,2,0.31,1.40,-,-,-,0.31,1.40
1418,Erica Durousseau,0.00,0.22,0.00,0,6,17,2,-0.18,0.00,-,-,-,-0.18,0.00
1419,Jessica deBen,0.00,0.11,0.00,0,6,9,1,-0.67,0.00,-,-,-,-0.67,0.00
1501,Todd Herzog,1.33,13.30,0.10,9,5,64,9,0.99,3.11,4,7,0.57,1.66,7.86
1502,Courtney Yates,1.68,13.30,0.13,7,0,64,9,0.78,5.44,2,7,0.29,1.19,8.84
1503,Amanda Kimmel,4.27,13.30,0.32,9,0,64,9,1.00,7.00,1,7,0.14,1.46,12.13
1504,Denise Martin,2.97,13.30,0.22,7,3,64,9,0.77,3.11,-,-,-,1.00,6.08
1505,Peih-Gee Law,3.58,11.30,0.32,5,8,71,10,0.49,1.17,-,-,-,0.81,4.75
1506,Erik Huffman,1.83,9.30,0.20,6,5,66,9,0.66,2.07,-,-,-,0.86,3.91
1507,James Clement,1.27,7.30,0.17,4,9,47,6,0.63,1.44,-,-,-,0.81,2.70
1508,Frosti Zernow,2.03,5.30,0.38,6,7,55,7,0.84,2.18,-,-,-,1.22,4.22
